region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
celltype_astrocyte > 0.235 (high third)  AND  braaksc <= 3 (low third),2,61,0.59391,0.58907,0.01434,0.33729,0.37811,0.64665,False
celltype_neuron > 0.194 (high third)  AND  age_death 86.8-90 (middle third),2,80,0.59995,0.59548,0.01378,0.32393,0.36318,0.62827,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_endothelial <= -0.263 (low third),2,74,0.59479,0.59085,0.01304,0.3018,0.39801,0.65567,False
cts_mmse30_lv <= 26 (lower half)  AND  age_first_ad_dx > 89 (upper half),2,64,0.59337,0.58907,0.01434,0.29966,0.39303,0.65567,False
apoe_genotype = 34,1,73,0.59462,0.59085,0.01304,0.28906,0.39801,0.65567,False
celltype_neuron > 0.194 (high third)  AND  braaksc 3-4 (middle third),2,47,0.58886,0.58435,0.01562,0.28898,0.34826,0.60945,False
celltype_astrocyte > 0.235 (high third)  AND  age_death <= 86.8 (low third),2,41,0.58361,0.57936,0.01553,0.27404,0.39801,0.65567,False
dcfdx_lv = 1,1,174,0.61336,0.61085,0.00916,0.27385,0.40299,0.65567,False
celltype_endothelial > -0.043 (upper half),1,200,0.61482,0.61266,0.0079,0.27326,0.39801,0.65567,False
celltype_neuron > 0.0321 (upper half)  AND  age_first_ad_dx 86.5-90 (middle third),2,42,0.58345,0.57936,0.01553,0.26387,0.40299,0.65567,False
celltype_astrocyte > 0.235 (high third)  AND  celltype_neuron -0.149-0.194 (middle third),2,44,0.58345,0.57936,0.01553,0.26362,0.40299,0.65567,False
celltype_neuron > 0.0321 (upper half)  AND  braaksc 3-4 (middle third),2,66,0.59429,0.59085,0.01304,0.26348,0.41791,0.66206,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_endothelial > 0.217 (high third),2,74,0.59413,0.59085,0.01304,0.25159,0.41791,0.66206,False
celltype_neuron > 0.0321 (upper half)  AND  cts_mmse30_lv <= 23 (low third),2,69,0.59412,0.59085,0.01304,0.25061,0.41791,0.66206,False
celltype_neuron > 0.194 (high third)  AND  celltype_microglia <= -0.077 (lower half),2,79,0.59859,0.59548,0.01378,0.22555,0.40796,0.66019,False
celltype_astrocyte <= 0.0643 (lower half),1,200,0.61427,0.61266,0.0079,0.20428,0.41791,0.66206,False
celltype_neuron > 0.194 (high third)  AND  age_at_visit_max > 88.9 (upper half),2,64,0.59196,0.58907,0.01434,0.20134,0.42289,0.66471,False
celltype_astrocyte > 0.0643 (upper half),1,200,0.61418,0.61266,0.0079,0.19246,0.42786,0.66471,False
celltype_neuron > 0.194 (high third)  AND  cts_mmse30_lv > 26 (upper half),2,62,0.59162,0.58907,0.01434,0.17783,0.42786,0.66471,False
celltype_astrocyte > 0.235 (high third)  AND  celltype_endothelial > 0.217 (high third),2,54,0.58712,0.58435,0.01562,0.17733,0.40299,0.65567,False
