region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
apoe_genotype = 33  AND  pmi > 6.5 (upper half),2,137,0.58931,0.58165,0.00994,0.7709,0.23881,0.46373,False
educ <= 14 (low third)  AND  pmi <= 5.67 (low third),2,42,0.56874,0.55707,0.01541,0.75721,0.23383,0.46213,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  celltype_neuron > 0.194 (high third),2,70,0.57846,0.56884,0.01271,0.75618,0.21891,0.45984,False
celltype_oligodendrocyte <= -0.371 (low third)  AND  celltype_microglia > -0.077 (upper half),2,59,0.57521,0.56586,0.01248,0.74966,0.26368,0.48657,False
celltype_oligodendrocyte <= -0.371 (low third)  AND  cogdx = 1,2,66,0.57836,0.56884,0.01271,0.74818,0.22886,0.46213,False
educ <= 14 (low third)  AND  age_at_visit_max <= 85.7 (low third),2,44,0.56854,0.55707,0.01541,0.74455,0.23383,0.46213,False
ceradsc = 4  AND  cts_mmse30_lv 23-28 (middle third),2,53,0.57129,0.56094,0.01428,0.72438,0.23881,0.46373,False
educ <= 14 (low third)  AND  celltype_astrocyte > 0.235 (high third),2,52,0.5712,0.56094,0.01428,0.71851,0.24378,0.46527,False
apoe_genotype = 33  AND  cogdx = 1,2,104,0.58214,0.57425,0.01099,0.71793,0.23383,0.46213,False
apoe_genotype = 33  AND  celltype_microglia -0.284-0.197 (middle third),2,83,0.57913,0.56979,0.01307,0.7149,0.24876,0.47207,False
celltype_oligodendrocyte <= -0.371 (low third)  AND  educ > 16 (upper half),2,47,0.57104,0.56094,0.01428,0.70681,0.24378,0.46527,False
age_death 86.8-90 (middle third),1,266,0.59461,0.59072,0.0055,0.70636,0.23383,0.46213,False
apoe_genotype = 33  AND  msex = 0,2,177,0.59182,0.58585,0.0086,0.6949,0.23383,0.46213,False
cogdx = 2,1,97,0.58188,0.57425,0.01099,0.69392,0.24378,0.46527,False
educ <= 14 (low third)  AND  celltype_endothelial > -0.043 (upper half),2,85,0.57882,0.56979,0.01307,0.69101,0.25373,0.4761,False
educ <= 14 (low third)  AND  cts_mmse30_lv <= 23 (low third),2,58,0.5744,0.56586,0.01248,0.684,0.29353,0.52994,False
educ <= 14 (low third)  AND  pmi 5.67-7.61 (middle third),2,61,0.57398,0.56586,0.01248,0.65114,0.30348,0.54205,False
educ <= 14 (low third)  AND  pmi > 6.5 (upper half),2,88,0.58039,0.57315,0.01119,0.647,0.25373,0.4761,False
